item,itemLabel,position,positionLabel,startDate,endDate
Q318493,Najib Mikati,,Prime Minister,,
Q108507913,Saadeh Al Shami,,Deputy Prime Minister,,
Q108504532,Maurice Sleem,,Defense,,
Q108508022,Abbas Halabi,,Education,,
,Johnny Corm,,Telecommunications,,
,Bassam Mawlawi,,Interior,,
,Nasser Yassine,,Environment,,
,Najla Riachi,,Administrative Reform,,
,Walid Nassar,,Tourism,,
,Hector Hajjar,,Social Affairs,,
Q4165335,George Kurdahi,,Information,,
Q108508022,Abbas Halabi,,Information,,
Q111685992,Ziad Makary,,Information,,
,Walid Fayad,,Energy and Water,,
,Georges Khoury,,Justice,,
Q108504531,Abdallah Bou Habib,,Foreign Affairs,,
Q108504534,Amin Salam,,Economy,,
,Issam Charafeddine,,Displaced,,
,Moustafa Bayram,,Labor,,
,Ali Hamiyeh,,Public Works,,
,George Khallas,,Youth,,
Q3572943,Youssef Khalil,,Finance,,
,Mohammad Mortada,,Culture,,
,Abbas Al Haj Hassan,,Agriculture,,
,George Bojikan,,Industry,,
,Firas Abiad,,Health,,
